id,creditPoint,lessonCode,lessonName
153,3.0,327.018.1,国际经济合同
154,2.0,PHPM130047.01,卫生管理研究设计
155,1.0,NDEC110002.08,军事理论
156,1.0,PEDU110009.11,排球(一)(男)
157,3.0,ECON120003.02,宏观经济学A
158,3.0,318.093.1.01,计算方法
159,2.0,317.131.1,中国古典政治著作选读
160,2.0,JOUR130033.01,纪录片理论与实践
161,3.0,340.019.1,保险学原理
162,2.0,ECON110017.01,证券投资与技术分析
163,2.0,311.031.1,中文工具书的使用
164,3.5,356.104.1,组织胚胎学
165,1.0,313.172.1.01,收视率分析
166,3.0,219.104.1,近代物理实验A
167,4.0,MATH120005.01,高等数学C（上）
168,3.0,COMP130010.03,数据库引论
169,2.0,ECON120007.01,国际金融与贸易
170,3.0,MANA130104,期权与期货
171,4.0,ENGL110001.01,大学英语I
172,5.0,MATH120011.09,高等代数Ⅰ
173,4.5,356.011.1,儿科学
174,3.0,PTSS110057.06,毛泽东思想中国特色理论概论
175,2.0,JOUR130001.02,新闻学概论
176,3.0,MATH130055.01,非寿险精算数学
177,3.0,341.033.1,中国金融市场
178,3.5,356.005.2,内科学(下)
179,3.0,268.023.1.02,国际贸易
180,4.0,ENGL110003.41,大学英语III
181,2.0,ECON130071.01,商务谈判(英语)(下)
182,1.0,PEDU110102.12,足球
183,3.0,270.011.1.02,遗传学
184,2.0,312.090.2,韩国文学史下
185,2.0,MANA130283.01,战略管理
186,1.0,PEDU110088.34,篮球
187,4.0,MATH120007.01,高等数学D
188,3.0,332.014.1,现代统计方法
189,2.0,ILLU110006.01,光辐射与健康
190,2.0,313.036.1,传记文学
191,3.0,INFO130005.01,模拟与数字电路实验(上)
192,1.0,PTSS130001.09,医学伦理学
193,2.0,130.001.1,材料科学
194,2.0,356.271.1.02,皮肤病学
195,2.0,317.060.2,英语听说(中高级)(下)
196,3.0,327.002.1,物权法
197,2.0,HIST130090,中国风俗史
198,2.0,392.001.2,专业英语(二)
199,1.0,PEDU110017.05,足球(一)(男)
200,2.0,INFO130093.01,专题报告
201,1.5,212.043.2,俄语视听说I下
202,1.0,NDEC110002.03,军事理论
203,3.0,PTSS110002.09,中国马克思主义概论
204,2.0,INFO130136.01,数字语音信号处理
205,2.0,314.001.1,专业英语(历史学)(上)
206,2.0,CHEM110004.01,生命中的化学元素
207,2.0,105.001.1,军事理论
208,2.0,SOCI130099.01,西方社会思想史
209,2.0,SOFT130045.01,ERP原理与实施
210,2.0,ENVI110007.02,环境法学
211,2.0,317.027.1,组织行为学
212,2.0,213.023.1.02,广播电视与当代社会
213,1.0,MED130165.02,外科手术学基本操作
214,2.0,PHIL130014.01,社会实践
215,2.0,316.020.1,马恩早期哲学著作选读
216,3.0,PHYS130041.01,实验软凝聚态物理
217,2.0,MANA130147.01,创业管理
218,2.0,313.045.1,组织传播学
219,2.0,343.011.1,国际保险
220,3.5,MED130022.01,内科学B（下）
221,2.0,313.030.1,广告研究专题
222,4.0,MED130014.02,药理学C
223,2.0,ARTS130010.01,装饰基础
224,1.0,ENVI130016.01,生产实习
225,2.0,CHIN130129.01,西方美学经典导读
226,2.0,211.001.2,现代汉语(下)
227,3.0,358.018.1.01,药物分析I
228,2.0,PHIL119022.01,《老子》导读
229,3.0,MANA130020.01,抽样技术
230,2.0,356.239.1.03,医学英语I
231,3.0,319.005.1.01,激光物理
232,3.0,INFO130157.01,人工智能A
233,3.0,229.010.1,机械制图A
234,2.0,317.008.1,比较政党制度
235,2.0,312.044.3,德语写作下
236,1.5,356.018.1.03,神经病学
237,1.0,PEDU110090.07,健美
238,2.0,0100.1.1,马克思主义哲学原著选读
239,4.0,MED130026.01,外科学A
240,3.0,ECON130041,保险营销学
241,3.0,361.034.1.01,计算机网络
242,4.5,324.001.1,编译原理
243,3.0,PTSS110054.07,马克思主义基础原理概论
244,3.0,PTSS110055,“毛、邓、三”概论
245,2.0,312.078.1,俄语实践修辞
246,3.0,324.118.1,模式识别
247,2.0,PHIL120001,哲学导论
248,4.0,358.035.1.01,生物合成药物化学
249,1.0,PEDU110075.05,击剑
250,3.0,313.017.1,广播电视新闻写作
251,2.0,PTSS110020.02,国外马克思主义思潮
252,2.0,LAWS110004.01,知识产权法
253,4.5,356.276.1.01,组织胚胎学
254,1.0,PEDU110107.15,健美操
255,1.0,PEDU110105.02,体育舞蹈
256,2.0,314.034.1,中国近代思想史
257,1.0,358.096.1,药物经济学
258,4.0,INFO130051.02,数据结构
259,5.5,MED130010.01,病理解剖学B
260,3.5,356.007.2,外科学(下)
261,2.0,314.027.1,中国历史地理概论
262,3.0,313.025.1,广告文稿写作
263,2.0,103.001.6,大学英语(六)
264,4.0,269.006.1,管理应用软件
265,1.0,357.026.1,调查研究设计
266,1.0,PEDU110100.04,综合体育
267,2.0,358.084.1,专业实习
268,1.0,PEDU110102.01,足球
269,2.0,313.200.1,新闻评论与编辑
270,2.0,245.005.1,环境质量评价
271,2.0,333.018.1,企管系实习调查
272,1.0,PEDU110042.16,健美操(二)(女)
273,4.0,103.035.1,高级文科专业英语
274,3.0,341.014.1,金融风险管理
275,3.0,MANA130008.02,运营管理
276,4.0,219.009.2,数学物理方法A(下)
277,2.0,JOUR130049,整合营销传播
278,2.0,357.003.2.03,预防医学（中）
279,2.0,312.011.2,英美报刊下
