id,creditPoint,lessonCode,lessonName
4950,2.0,PTSS110053.10,思想道德修养与法律基础
4951,6.0,327.071.1,毕业论文
4952,2.0,PHIL130080.01,佛教原著选读
4953,2.0,MANA130280,数据仓库与数据挖掘
4954,2.0,315.042.1,农村和农业经济学
4955,2.0,122.003.1.02,化学与人类
4956,4.0,INFO120001,程序设计
4957,3.0,268.008.1,公共经济学
4958,2.0,BIOL130057.01,遗传分析原理
4959,2.0,115.001.1,房地产投资学
4960,4.0,103.015.2.22,大学英语II
4961,2.0,127.013.1.02,法律基础
4962,3.0,ECON130007.01,货币银行学
4963,2.0,185.001.1,大学生健康教育
4964,2.0,PHIL110014.01,哲学与社会
4965,1.0,ILLU130012.01,生产实习
4966,2.0,FINE119007.01,音乐剧赏析与表演
4967,3.0,PHAR130052.01,有机光谱
4968,1.0,PEDU110076.01,羽毛球(男、女)
4969,4.0,0095.3.3,英语精读C(三)
4970,2.5,324.050.1,电子商务理论
4971,1.0,245.105.1,生态学实验
4972,1.0,PEDU110006.13,篮球(二)(男)
4973,4.0,ENGL110003.14,大学英语III
4974,4.5,MED130023.03,外科学B（上）
4975,2.0,PHPM110047.01,医院经营管理
4976,2.0,317.138.1,公务员制度
4977,2.0,PHAR130033.01,药物分析II
4978,2.5,357.033.1,卫生化学
4979,1.0,356.173.1.03,内科见习
4980,3.0,172.051.1,C程序设计
4981,1.0,COMP110002.05,计算机绘图与多媒体
4982,3.5,318.036.1,数值逼近
4983,2.0,117.028.1,当代中国政治思潮
4984,6.5,356.278.1.01,病理解剖学
4985,6.0,341.023.1,财务系毕业论文
4986,1.0,MED130153.02,功能学科实验II
4987,2.0,313.008.1,专业新闻报道
4988,2.0,372.063.1,机械制图及CAD基础
4989,2.0,MED130157.03,耳鼻喉科学
4990,2.0,HIST120001.01,史学原典导读
4991,3.0,MECH130021.01,数学物理方法
4992,2.0,347.011.1,服务贸易
4993,1.0,356.017.1,神经病学
4994,3.5,356.014.1,眼耳鼻喉科
4995,1.0,PEDU110108.01,艺术体操
4996,3.0,214.013.1,世界文化史A
4997,4.0,FORE130183,第二外语(法语)(上)
4998,4.0,111.006.2,留学生高级汉语(下)
4999,2.0,PHIL130074.01,小学基础
5000,2.0,140.007.1,金融风险与管理
5001,3.0,ENVI130006.01,环境监测A
5002,3.0,332.015.1,应用随机过程
5003,2.0,358.065.1,实验药物化学I
5004,2.0,POLI130129.01,国际政治学研究方法
5005,2.0,PTSS110056,社会主义市场经济概论
5006,2.0,311.017.1,传记文学概论
5007,2.0,526.002.2,金融英语(下)
5008,2.0,FINE110014.08,中外音乐审美
5009,2.0,ECON130057.01,农村和农业经济学
5010,3.0,211.004.1,文学概论
5011,2.0,ENGL110011,英语中级口译
5012,2.0,ECON130049.01,数理经济学
5013,2.0,343.006.1,国际营销学
5014,3.0,ECON130018.01,外国经济史
5015,1.5,NURS130029.01,社区护理
5016,2.0,322.002.1,化学综合实验(上)
5017,1.0,191.901.2.01,科学讲座（二）
5018,1.0,356.180.1.01,小儿外科学
5019,2.0,127.012.1,知识产权法
5020,1.0,313.197.1,新闻道德与伦理
5021,3.0,170.107.1,普通生物学实验
5022,2.0,311.068.1,近代汉语
5023,2.0,JOUR130036,跨文化传播
5024,2.0,COMP120003,电子学基础
5025,1.0,CHEM120002.05,普通化学实验
5026,5.0,218.101.2.02,高等数学A（下）
5027,2.0,FORE130010.01,英语写作II(下)
5028,2.0,SOCI110019.01,科学社会学
5029,3.0,318.070.1,C++与面向对象
5030,3.0,MANA130121,计量经济学
5031,3.0,ECON130061,国别和地区经济
5032,3.0,INFO130057.02,算法设计与分析
5033,2.0,CHIN130028.01,中国语言学史
5034,4.0,MATH120005.06,高等数学C（上）
5035,2.0,FINE110001.01,影视剧艺术
5036,1.0,COMP110001.11,计算机高级办公自动化
5037,2.0,PTSS110053.06,思想道德修养与法律基础
5038,2.0,ECON130142.01,中国开放经济运行分析
5039,1.0,PEDU110105.05,体育舞蹈
5040,2.0,FORE130278.01,日语语音学
5041,4.0,317.129.1,毕业论文
5042,3.0,217.025.1,国际关系导论
5043,2.0,SOCI110007.01,成功心理素质训练
5044,4.0,MANA130001.02,概率论与数理统计
5045,2.0,MED130036.05,法医学
5046,2.0,170.124.1.01,生命的进化
5047,2.0,314.001.2,专业英语(历史学)(下)
5048,2.0,268.035.1,国际经济学
5049,2.0,370.054.1,生物学专题与进展
5050,2.0,370.037.1,应用生态学
5051,1.0,PEDU110057.06,综合体育(一)(男)
5052,3.0,326.034.1.01,信息经济学
5053,2.0,403.002.3,英语听说(三)
5054,2.0,330.157.1.01,专业外语
5055,2.0,PHPM110043.01,食品安全与监督
5056,2.0,ECON130133.01,人口与社会保障经济学
5057,1.0,PEDU110095.02,击剑(二)(女)
5058,3.0,PHPM130061.01,卫生管理运筹学
5059,2.0,CHEM130005.01,仪器分析和物理化学实验A上
5060,3.0,LAWS120005.02,行政法
5061,2.0,169.005.1,应用统计
5062,2.0,MED130144.02,基于疾病的多学科教学II
5063,2.0,ECON130033.01,金融英语(二)
5064,3.0,INFO130037.01,通信系统实验(上)
5065,4.0,356.243.1.01,内科学
5066,5.0,261.007.1,离散数学
5067,2.0,MED130146.03,基于疾病的多学科教学IV
5068,2.0,SOCI130089,健康心理学
5069,2.0,327.011.1.01,金融法
5070,5.0,261.003.1,计算机系统基础
5071,4.0,INFO130004.02,高频电子线路A
5072,3.0,MANA130041.01,国际会计
5073,3.0,134.005.1,社会学概论
5074,2.0,CHIN130030.01,西方语言学
5075,3.0,268.021.2,政治经济学(下)
5076,3.0,ECON130054.02,信息经济学
5077,2.5,MED130006.02,免疫学C
5078,3.0,292.004.1,宪法学
5079,3.0,318.034.1.01,计算机图形学A
5080,4.0,311.092.1,中文系毕业论文
5081,2.0,CHIN130026.01,《说文解字》精读
5082,2.0,317.123.1,东亚政治概论
5083,2.0,CHEM130063.01,金属有机化学的实验研究方法
5084,2.0,234.018.1,个案工作
5085,2.0,HIST119021.01,希腊悲剧
5086,2.0,ENGL110039.02,英语听力
5087,2.0,129.015.1,工程制图与CAD基础
5088,1.0,MECH130100.01,金工实习
5089,6.0,212.050.2,高级韩国语(下)
5090,1.0,PEDU110077.03,网球
5091,3.0,MATE130021.01,表面分析
5092,2.0,INFO130155.01,数据库设计实践
5093,4.0,0969.2.3,数学分析B(下)
5094,1.0,PEDU110076.03,羽毛球
5095,4.0,103.015.3,大学英语III
5096,2.0,317.051.1,宏观经济学
5097,2.0,FORE130226.01,法语散文选读
5098,6.0,MATH130015.22,毕业论文(含专题讨论)
5099,3.0,360.002.1.01,国际保险
5100,2.0,347.026.1,风险管理与保险
5101,1.0,157.060.1.01,性健康教育
5102,2.0,POLI130037,专业英语(国际政治)(四)
5103,3.0,318.140.1,应用软件开发方法
5104,5.0,358.062.1.01,生物化学
5105,2.0,335.030.1,学年论文(文博)
5106,2.0,216.008.1.01,现代中国哲学
5107,2.0,CHIN130070.01,基督教与中国现代文学
5108,2.0,ENGL110044.34,大学英语II
5109,3.0,327.013.1,国际经济法导论
5110,4.0,392.019.1,社会实践
5111,2.0,HIST130087,德国史
5112,1.0,PEDU110039.02,艺术体操(一)(女)
5113,2.0,ENVI130028.01,专业英语
5114,4.0,ENGL110017,高级英语
5115,2.0,MED130125.01,传染科实习
5116,4.0,327.070.1.01,毕业实习
5117,1.0,PEDU110034.08,木兰扇
5118,4.0,ILLU130005.01,气体放电与光源
5119,3.0,0823.1.1,资产组合投资学
5120,4.0,ENGL110002.28,大学英语II
5121,2.0,127.013.1.10,法律基础
5122,5.0,218.108.1,高等代数(上)
5123,2.0,358.008.1,分子生物学
5124,3.0,324.107.1,编译
5125,2.0,312.215.1,英汉口译
5126,2.0,CHIN119005.01,中国现代文学名著选讲
5127,2.0,FORE130229,日本现代作家及其作品研究
5128,2.0,372.071.1,计算机软件基础
5129,2.0,CHIN119014.01,诗经与传统文化
5130,1.0,PEDU110054.03,防身术
5131,2.0,313.193.1,新媒体技术
5132,3.0,372.064.1,激光原理与技术
5133,2.0,ENGL110044.22,大学英语II
5134,2.0,116.027.1,欧洲思想史
5135,2.0,329.192.1.01,空气动力学
5136,3.0,INFO130067.01,信息安全概论
5137,5.0,MATH120009.04,数学分析Ⅱ
5138,1.5,MED130204.01,医学遗传学
5139,2.0,269.036.1,企业税务与筹划
5140,4.0,PHYS120002.10,大学物理（下）
5141,4.0,269.015.1,国际贸易和国际金融
5142,2.0,CHEM130035,环境化学B
5143,4.0,224.014.1,计算机体系结构
5144,2.0,116.010.1.01,当代西方哲学思潮
5145,2.0,624.002.1,CAD工程设计
5146,2.0,SOFT130027.01,形式语言与计算理论
5147,3.0,216.003.1,马克思主义哲学发展史(上)
5148,4.0,203.002.3,English(3)
5149,1.0,PEDU110012.14,排球(二)(女)
5150,2.0,350.006.1,旅游文化学
5151,1.5,357.002.1.01,卫生统计方法（二）
5152,2.0,312.001.1,英语语音学
5153,2.0,356.125.1,病理生理学
5154,3.0,324.018.1,计算机安全与保密技术
5155,4.0,ENGL110002.15,大学英语II
5156,4.0,ENGL110001.03,大学英语I
5157,2.0,350.027.1,中国民俗旅游
5158,3.0,ECON130050.01,市场营销学
5159,2.0,316.007.1,政治哲学
5160,2.0,CHEM120004.05,有机化学实验
5161,2.0,269.052.1,抽样调查
5162,2.0,MUSE130055.01,中国漆器史
5163,3.0,319.149.1,实验软凝聚态物理
5164,2.0,INFO130043.01,光学和光电子测量
5165,4.0,INFO130002.01,工程数学
5166,3.0,325.042.1,企业战略分析
5167,2.0,CHIN130030,西方语言学
5168,3.0,0492.1.1,国际公法学
5169,2.0,322.017.1,物理化学研究法及实验
5170,2.0,CHIN130075.01,世界文学名著精读
5171,2.0,311.298.1,中国手语语言学
5172,1.0,PEDU110008.02,篮球(二)(女)
5173,2.0,317.078.1,人力资源开发与管理
5174,2.0,PHIL119034.03,逻辑与批判性思维
5175,3.0,218.112.1,复变函数
5176,3.0,ENVI130038.01,环境物理化学
5177,3.0,268.020.1.03,概率论与数理统计
5178,5.0,INFO120004.01,数学分析（上）
5179,4.0,315.001.1,当代中国经济
5180,3.0,SOCI120002.02,社会研究方法A
5181,3.0,321.041.1,可靠性物理
5182,2.0,114.008.1,东西方文化与日本现代化
5183,2.0,CHEM130030,分子光谱
5184,8.0,112.019.2.02,留学生应用汉语II
5185,1.0,MED130037.03,内科见习
5186,2.0,212.022.3,日语听音下
5187,3.0,361.002.1,计算机网络结构
5188,2.0,314.236.1.01,日本外交史
5189,1.5,356.184.1.02,临床流行病学
5190,3.0,MANA130002.04,程序设计I
5191,2.0,119.020.1.02,物理量与人类生命
5192,1.0,PEDU110077.15,网球
5193,2.0,335.048.1,中国玉器
5194,2.0,JOUR130145.01,社会学概论
5195,1.0,PHPM130030.01,卫生学评价
5196,2.0,334.058.1,社会工作技巧实验
5197,2.0,TOUR130014.01,旅游经济学
5198,4.0,127.015.2,高级汉语(下)
5199,2.0,INFO130128.01,程控交换技术
5200,1.0,356.210.1.01,病原生物学研究进展
5201,2.0,CHIN110011.01,东西方美学思潮
5202,2.0,316.023.1,西方哲学原著导读
5203,2.0,370.031.1,免疫学
5204,2.0,317.076.1,西方行政学说史
5205,2.0,ECON130016.01,社会实践
5206,2.0,JOUR130122.01,电子商务与电子政务
5207,5.0,269.019.2,高等数学(下)
5208,2.0,JOUR130127.01,企业发展战略
5209,4.0,359.035.2.01,生产实习（2）
5210,3.0,MANA130007,管理信息系统
5211,2.0,FORE120005.01,英国文学史选读（下）
5212,2.0,317.005.1,政策分析
5213,2.0,642.001.1,中级财务会计
5214,2.0,JOUR130008,外国新闻传播史
5215,2.0,LAWS130013,专业英语I(法律)
5216,3.0,HIST130109.01,基础拉丁语(下)
5217,4.0,218.104.1,高等数学D
5218,2.0,327.009.1.01,税法
5219,1.0,PEDU110010.02,排球(二)(男)
5220,2.0,CHIN130004.01,中国现当代文学史(上)
5221,2.0,PHPM130049.01,社会实践
5222,3.0,341.001.1,公司财务管理
5223,2.0,156.033.1,毒物分析
5224,1.0,PEDU110005.29,篮球(一)(男)
5225,2.0,359.031.1.01,护理科研
5226,2.0,PTSS110008.07,中国近现代史纲要
5227,2.0,HIST110010.01,中国文化十讲
5228,2.0,211.018.1,中西文艺学名著导读
5229,2.0,268.032.1,证券投资理论与实证分析
5230,3.0,358.018.1,药物分析I
5231,3.0,SOFT130007.01,概率统计
5232,1.0,PEDU110009.19,排球(一)(男)
5233,2.0,TOUR130018.01,宾馆经营管理
5234,4.0,419.002.1,普通物理A2(上)
5235,2.0,FORE130265.01,德语国家历史
5236,3.0,317.090.1,中国近代政治思想
5237,4.0,312.151.1.04,毕业论文
5238,2.0,322.024.1,应用电化学
5239,3.0,MECH130097.01,工程固体力学
5240,2.0,339.028.1.01,广告设计
5241,2.0,PTSS110008.06,中国近现代史纲要
5242,2.0,129.003.1,力学与现代工程
5243,3.0,ECON130062.01,国际贸易实务
5244,1.5,345.114.1.01,环境监测实验
5245,4.0,PHPM130036.01,卫生管理心理学
5246,3.0,348.008.1,营销渠道管理及创新
5247,2.0,ENGL110023.01,英汉语对比导论
5248,3.0,MED130030.01,传染病学A
5249,4.0,103.007.1,专业汉语
5250,1.0,COMP110002.15,计算机绘图与多媒体
5251,3.0,419.015.1,热学B
5252,2.0,CHIN130011.02,语言学概论
5253,2.0,ENGL110015.09,中级英文写作
5254,1.0,PEDU110041.07,健美操(一)(女)
5255,2.0,0541.1.1,证券法学
5256,2.0,157.037.1,药品经济与市场营销
5257,2.0,LAWS130028,劳动法
5258,8.0,FORE130052,基础法语(上)
5259,2.0,MATE110010.01,虚拟仪器技术
5260,2.0,CHEM120004,有机化学实验
5261,1.0,292.063.1,计算机组成实验
5262,3.0,325.043.1,商法
5263,1.0,PEDU110033.19,木兰拳
5264,2.0,MED130200.01,临床病理讨论课程
5265,3.0,322.116.1,物理化学AⅠ
5266,1.0,315.904.1,经济学原著选读
5267,2.0,SOCI130045,环境社会学
5268,1.0,PEDU110059.02,游泳(一)(男、女)
5269,6.0,356.275.1.01,系统解剖学
5270,2.0,125.004.1,现代管理的优化方法
5271,5.0,MATH120011.06,高等代数Ⅰ
5272,2.0,ENGL110024,影视与英美文化讨论
5273,3.0,345.116.1,环境工程基础
5274,3.0,321.047.1,计算机网络
5275,3.0,INFO110001.15,计算机网络与多媒体
5276,3.0,343.001.1,货币银行学
5277,4.0,PHYS130057.01,经典物理A
5278,2.5,PHPM130074.01,营养与食品卫生学
5279,2.0,370.121.1,糖生物化学
5280,2.0,330.029.1.01,电子封装材料与工艺
5281,2.0,JOUR130037,新媒体传播与发展
5282,2.0,104.033.1,书法美学
5283,2.0,0886.1.1,房地产财务
5284,2.0,312.128.1,日本文化史
5285,3.0,POLI120003.03,公共行政学
5286,3.0,325.011.1,预测方法
5287,2.0,312.031.1,日本文学选读(上)
5288,2.0,317.054.1,亚太地区政治与经济
5289,2.0,245.006.1,环境法
5290,1.0,158.007.1,环境放射卫生学
5291,2.0,170.133.1,应用系统生物学前沿
5292,1.5,357.003.3,预防医学（下）
5293,2.0,LAWS130031.01,侵权行为法
5294,1.0,191.901.2,科学讲座（二）
5295,3.0,101.006.1.01,马克思主义政治经济学原理
5296,3.0,MATH130019.01,运筹学A
5297,2.0,HIST130068,欧洲近代思想文化史
5298,1.0,PEDU110017.09,足球(一)(男)
5299,2.0,HIST130042.01,南亚史
5300,2.0,BIOL130029.01,医学分子遗传学
5301,2.0,334.012.1,环境社会学
5302,2.0,322.103.1.01,化学信息学
5303,1.0,358.055.1.01,食品化学
5304,1.0,PEDU110075.02,击剑
5305,2.0,104.016.1,中国画理论与技法
5306,5.0,224.009.1,代数结构与数理逻辑
5307,3.0,340.038.1.01,投资银行理论与实务
5308,2.0,169.006.1,现代管理的优化方法
5309,1.0,PEDU110044.08,健美(二)(男)
5310,2.0,311.278.1,中国现代文论
5311,6.0,329.145.1.02,毕业论文
5312,2.0,FORE130062.01,法语写作II(下)
5313,2.0,INFO110008.01,LINUX操作系统
5314,3.0,MATH120044.01,线性代数
5315,2.0,172.002.1,CAD工程设计
5316,3.0,LAWS130016.01,专业英语II(法律)
5317,2.0,FORE110026.01,初级西班牙语（上）
5318,2.0,358.123.1.01,医药元素化学
5319,3.0,INFO130027,集成电路实验(上)
5320,2.0,219.125.1.03,普通物理实验
5321,2.0,313.079.1,电视新闻采访
5322,2.0,219.125.1.02,普通物理实验
5323,3.0,324.013.1,自控原理与计算机控制
5324,2.0,SOCI130126,中国社会
5325,1.0,PEDU110102.26,足球
5326,2.0,1113.1.1,微机应用基础
5327,2.0,356.256.1.01,中西医结合研究
5328,1.0,157.039.1,医学技术与健康
5329,2.0,312.105.1.01,实习调查
5330,2.0,172.012.1,多媒体技术初步
5331,2.0,MANA120009,现代投资学
5332,1.0,PEDU110024.12,乒乓球(二)(女)
5333,1.0,PEDU110105.03,体育舞蹈
5334,2.0,SOCI130005.01,社区研究
5335,2.0,CHIN120003.01,美学
5336,2.0,PHYS110007.01,医学物理学
5337,1.0,356.272.1,口腔科学
5338,1.0,102.152.1,围棋(一)
5339,4.5,MED130216.01,药理学
5340,2.0,MECH119005.01,生物力学与人类健康
5341,3.0,CHIN130020.01,专业英语(汉语言文学)
5342,3.0,356.120.1,寄生虫学
5343,10.0,212.040.2,基础俄语(下)
5344,3.0,172.052.1.16,VB程序设计
5345,2.0,POLI130057.01,专业英语(公共行政)(一)
5346,2.0,HIST130022.01,中国经学史
5347,4.0,FORE130004.05,中级英语(下)
5348,22.0,356.263.1.01,毕业实习和毕业论文
5349,3.0,ECON130080.01,投资银行理论与实务
5350,1.0,PHAR110004.01,药学概论
5351,3.0,INFO130156.01,模式识别
5352,4.0,MED130045.01,正常人体形态与功能学ⅣA
5353,2.0,MANA120007.01,市场调研
5354,2.0,MED130143.08,基于疾病的多学科教学I
5355,2.0,HIST120006.01,中国古代对外关系专题研究
5356,2.0,113.012.1,广告策划与创意
5357,2.0,JOUR119001.01,媒介与社会
5358,3.0,INFO130005,模拟与数字电路实验(上)
5359,3.0,421.003.1,电子学方法实验
5360,2.0,311.093.1,现代汉语方言研究
5361,2.0,CHIN130056.01,《世说新语》精读
5362,2.0,322.022.1,工业分析化学
5363,2.0,312.125.1.01,翻译理论与技巧（俄语）
5364,3.0,ECON130053.01,人口、资源与环境经济学
5365,2.0,JOUR130022.01,电视摄像
5366,2.0,372.060.1,光学和光电子测量
5367,2.0,FORE130213,德语词汇学
5368,3.0,311.260.1,外国文学史
5369,9.0,FORE130032.01,中级德语(上)
5370,1.0,FORE130101.01,俄语视听说III(上)
5371,2.0,313.054.1,中外广告事业
5372,1.0,PEDU110049.05,中国武术一、二段
5373,2.0,326.006.1,涉外经济英语(上)
5374,2.0,PHYS120004.06,普通物理实验
5375,2.0,FINE110016.01,审美教育导论
5376,3.0,319.137.2.01,热力学与统计物理II
5377,3.0,172.052.1.08,VB程序设计
5378,2.0,MED130143.13,基于疾病的多学科教学I
5379,3.0,329.033.1,建筑工程招投标
5380,2.0,222.104.1,现代基础化学实验(上)
5381,2.0,PHIL130010.01,现代中国哲学
5382,2.0,358.014.1.01,生药学I
5383,2.0,0540.1.1,外国法律文选 一
5384,2.0,SOCI110009,大学生社会实践
5385,2.0,ARTS130044.01,会展与经济专题
5386,2.0,PHYS120004.07,普通物理实验
5387,2.0,BIOL130067.01,生命科学科研伦理和规范
5388,3.0,319.150.1,应用数学
5389,2.0,334.039.1,教育社会学
5390,3.5,356.014.1.04,眼耳鼻喉科
5391,2.0,227.014.1.01,法理学
5392,2.0,211.006.1,中国现当代文学史(上)
5393,2.0,JOUR110001,传播学概论
5394,2.0,FORE130024.02,翻译理论与技巧(一)
5395,3.0,319.022.1,核分析技术
5396,4.0,INFO120003.01,数字逻辑基础
5397,2.0,348.036.1,营销渠道管理
5398,2.0,119.020.1,物理量与人类生命
5399,2.0,POLI130059,专业英语(公共行政)(三)
5400,2.0,POLI130058.01,专业英语(公共行政)(二)
5401,1.0,370.056.1,生理学实验
5402,1.0,COMP110002.13,计算机绘图与多媒体
5403,2.0,0832.1.1,投资经营决策
5404,2.0,INFO130112.01,半导体光电子器件
5405,1.0,PEDU110102.10,足球
5406,3.0,542.001.1,财务会计
5407,1.5,PHPM130058.02,卫生统计方法（一）
5408,4.0,327.070.1,毕业实习
5409,2.0,370.116.1,生命科学交叉前沿专题
5410,2.5,356.111.1,功能学科综合实验
5411,4.0,FORE130005.03,高级英语(上)
5412,4.0,112.005.1,基础法语(上)
5413,2.0,116.016.1,后现代思潮
5414,2.0,BIOL130072.01,生物芯片的研究与应用
5415,2.0,TOUR130008.01,旅游文化学
5416,3.0,216.004.1,西方马克思主义
5417,3.0,324.033.1,DB2数据库系统开发及管理
5418,2.0,1266.1.1,计算机语言
5419,1.0,SOCI130014.02,学年论文
5420,4.0,TOUR130010.01,旅游英语(下)
5421,2.0,MED130144.01,基于疾病的多学科教学II
5422,8.0,FORE130113,中级韩国语(下)
5423,4.0,ENGL110002.22,大学英语II
5424,2.0,PHYS110006.01,自学物理实验
5425,1.0,MED130037.02,内科见习
5426,2.0,168.024.1,跨国公司人力资源管理
5427,3.0,315.902.1,经济学前沿专题
5428,3.0,LAWS130011.02,国际私法
5429,1.0,PEDU110050.01,中国武术三段
5430,2.0,MUSE130029.01,中国钱币学
5431,1.0,322.901.2,今日化学
5432,2.0,103.006.2,大学英语(预备)(下)
5433,2.0,FINE119005.01,音乐理论与实践
5434,2.0,313.212.1.01,杂志研究
5435,3.0,PHAR130039,药剂学II
5436,2.0,CHEM130032.01,工业分析化学
5437,1.0,PHPM130054.03,卫生法
5438,2.0,212.015.1,英汉互译I上
5439,2.0,116.006.1,文化人类学
5440,2.0,222.106.3,仪器分析和物理化学实验A下
5441,3.0,227.031.1,刑事诉讼法
5442,0.0,ENGL110037.04,大学英语I
5443,3.0,MANA130003.02,管理学导论
5444,2.0,313.209.1.01,影视作品分析
5445,2.0,HIST130036.01,近现代中韩关系史
5446,1.0,102.032.2,体育(二)
5447,2.0,FORE130044.01,德语写作I(上)
5448,2.0,CHEM110003.01,化学与人类
5449,2.0,JOUR130042,人际传播学
5450,2.0,348.038.1,高新技术市场营销
5451,4.0,TOUR130010,旅游英语(下)
5452,2.0,ENVI130029,环境微生物学
5453,3.0,313.002.1,当代新闻实务
5454,2.5,MED130011.01,寄生虫学A
5455,1.0,212.031.1,德语视听II(上)
5456,2.0,330.129.1,高分子化学
5457,1.0,PEDU110082.01,板球(一)(女)
5458,4.0,418.001.2,高等数学A1(下)
5459,4.0,350.034.1,旅游英语(上)
5460,2.0,322.104.1.01,应用化学专题
5461,1.0,357.105.1.01,生产实习
5462,3.0,329.029.1,管理学原理
5463,3.0,372.112.1,自动控制原理
5464,3.0,332.045.1,随机过程
5465,2.0,317.002.2,地方政府学(下)
5466,3.0,361.002.1.01,计算机网络结构
5467,4.0,0580.1.1,英美报刊选读
5468,1.0,102.032.3,体育(三)
5469,4.0,331.113.1,机械制图与CAD
5470,3.0,INFO130066,信息论与编码
5471,1.0,PEDU110047.03,陈式简化太极拳
5472,3.0,222.003.2,分析化学A(下)
5473,6.0,312.150.1,毕业论文
5474,2.0,214.033.1,西方史学名著导读
5475,2.0,JOUR130042.01,人际传播学
5476,3.0,POLI130005.01,比较政治制度
5477,4.0,ENGL110003.28,大学英语III
5478,2.0,314.228.1.01,中国近代社会性别与妇女史
5479,2.0,211.012.1.01,唐诗与宋词
5480,2.0,312.208.1,德语专门语(经贸，科技)
5481,2.0,JOUR130048.01,媒介形态学
5482,1.0,105.002.1.12,军事理论
5483,3.0,MATH130027.01,数学金融学
5484,3.0,LAWS130014.01,国际经济法导论
5485,3.0,321.021.2,通信系统实验(下)
5486,3.0,ECON130080.02,投资银行理论与实务
5487,2.0,372.070.1,计算机基础
5488,2.0,312.111.1,英国文学史选读上
5489,4.0,103.015.3.38,大学英语III
5490,4.0,418.003.1,高等数学B1(上)
5491,2.0,CHIN110028,文学与人生
5492,2.0,HIST110004,东西文化交流
5493,3.0,POLI120003,公共行政学
5494,2.0,HIST130058.01,韩国史
5495,2.0,CHEM130037.01,精细有机化学
5496,2.0,312.159.1.01,法语写作III
5497,2.0,FORE130067.01,法国概况
5498,2.0,183.001.1,计算机信息检索
5499,3.0,MATE130042,电子与信息材料
5500,3.0,318.064.1,数学金融学
5501,1.0,PEDU110088.38,篮球
5502,2.0,ECON130049,数理经济学
5503,1.0,334.137.1.02,学年论文
5504,2.0,127.004.1,知识产权法概论
5505,1.0,315.904.2,经济学原著选读
5506,3.0,LAWS130022,物权法
5507,2.0,PTSS119002.02,生命科学史
5508,1.5,PHPM130059.03,卫生统计方法（二）
5509,4.0,118.005.2,中日交流标准日语(下)
5510,2.0,321.137.1,设计与实现SQL2000数据库
5511,2.0,315.017.1,房地产评估
5512,2.0,319.104.1.01,非线性光学
5513,3.0,INFO130032.01,信号与系统A
5514,3.0,MANA130168,计算机系统软件
5515,1.0,334.137.1,学年论文
5516,2.0,ENGL110041.08,英语写作
5517,1.0,PEDU110091.01,乒乓球
5518,5.0,MATH130001.03,数学分析III
5519,2.0,JOUR130112,媒介与社会
5520,8.0,ICES110007.01,留学生应用汉语II
5521,2.0,316.063.1.01,宗教社会学
5522,2.0,MED130144.13,基于疾病的多学科教学II
5523,3.0,MANA130055.01,消费者行为学
5524,3.0,643.001.1,国际商务管理
5525,3.5,357.134.1.01,职业卫生与职业医学
5526,6.0,MATH130015.08,毕业论文(含专题讨论)
5527,2.0,MANA130300.01,消费者行为学
5528,1.0,PEDU110041.03,健美操(一)(女)
5529,2.0,357.031.1.01,基础毒理
5530,2.0,TOUR130049,出境地概论
5531,2.0,157.018.1,毒物中毒
5532,6.0,CHEM130018.05,毕业论文
5533,2.0,ARTS130019.01,技法与表现
5534,2.0,358.059.1,数理统计
5535,2.0,311.262.1,文学概论
5536,3.0,341.031.1.01,金融计量分析
5537,2.0,312.157.1.01,法语报刊
5538,2.0,114.033.1,生命医学伦理学
5539,1.0,PEDU110053.02,防卫术
5540,2.0,217.021.1.01,国际政治学方法论
5541,3.0,318.011.1,分形模型
5542,2.0,MECH130003.01,常微分方程
5543,3.0,315.006.1,市场营销学
5544,2.0,314.141.1.01,韩国史
5545,2.0,330.027.5.01,专题报告
5546,3.0,355.005.1.01,比较财政学
5547,1.0,222.117.1.02,普通化学实验
5548,2.0,MANA130042.01,国际商务管理
5549,2.0,329.143.1,Visual Basic语言
5550,3.0,311.147.2,专业英语(汉语言)(下)
5551,4.0,219.103.1,近代物理A
5552,2.0,INFO130154.01,软件体系结构
5553,3.0,332.020.2,数学规划(下)
5554,2.0,101.009.1,科技与宗教
5555,3.0,INFO130010.02,数字信号处理A
5556,2.0,PHIL130003.01,马克思主义哲学史(下)
5557,2.0,145.002.1,环境生物技术
5558,2.0,212.057.1,韩国语写作(上)
5559,1.0,FORE130102.01,俄语视听说III(下)
5560,2.0,361.035.1,软件实践
5561,3.0,PHPM130005,卫生统计学A
5562,3.0,LAWS130022.01,物权法
5563,2.0,MED130123.03,神经科实习
5564,1.0,212.075.1,德语视听III
5565,1.0,PEDU110017.20,足球(一)(男)
5566,3.0,392.075.1,现代控制系统
5567,2.0,FINE110041.01,影视作品创作分析
5568,2.0,313.189.1,消费心理与消费行为
5569,3.0,INFO130049,数字逻辑与部件设计
5570,3.0,349.009.1,企业资源计划—ERP
5571,2.0,FORE120008,英美文学通论
5572,2.0,600.038.1,企业伦理
5573,2.0,PTSS110008.04,中国近现代史纲要
5574,3.0,370.011.1,基因工程实验
5575,4.0,INFO120002.04,模拟电子学基础
5576,3.0,319.011.1,粒子物理
5577,3.0,0981.2.1,理论力学B
5578,4.0,MANA130005.02,运筹学
5579,2.0,104.040.1,书法审美
